Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.81,9.32,0.0,95.4,100.0,0.0017590794,0.9659258262890684,0.2588190451025207,0.8064799463209448,-0.5912614448635781
2025-05-08 06:00:00,0.0,5.474621063264977,17.415293896511763,0.0,0.0,0.0,0.0,1.0,0.0,15.3,9.71,0.0,90.29,100.0,0.0019641574,1.0,6.123233995736766e-17,0.8064799463209448,-0.5912614448635781
2025-05-08 06:15:00,15.009316487895306,0.0,38.55547188053953,0.0,0.0,0.0,0.0,1.0,0.0,15.3,9.71,0.0,90.29,96.06007,0.002242465,1.0,6.123233995736766e-17,0.8064799463209448,-0.5912614448635781
2025-05-08 06:30:00,5.535427061310084,0.0,9.966955427233572,20.340492520890162,0.0,0.0,0.0,1.0,0.0,15.3,9.71,0.0,90.29,92.12013,0.0025207726,1.0,6.123233995736766e-17,0.8064799463209448,-0.5912614448635781
2025-05-08 06:45:00,0.0,0.0,93.92317314415028,22.111955014424577,2.7060654007879315,0.0,0.0,1.0,0.0,15.3,9.71,0.0,90.29,88.18021,0.0027990805,1.0,6.123233995736766e-17,0.8064799463209448,-0.5912614448635781
2025-05-08 07:00:00,10.867962463847466,67.92359958740157,161.08035843352502,77.28241052608357,39.051894879819045,0.0,0.0,1.0,0.0,17.61,9.83,0.0,78.93,84.24027,0.003077388,0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 07:15:00,42.060107143643,81.64794254996332,218.10599146868068,91.04383711744298,23.019110858751816,0.0,0.0,1.0,0.0,17.61,9.83,0.0,78.93,80.48784,0.0029870565,0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 07:30:00,130.011616825076,47.05364178279794,283.0046318484247,117.47186416622041,101.59792298081814,0.0,0.0,1.0,0.0,17.61,9.83,0.0,78.93,76.7354,0.002896725,0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 07:45:00,216.86857204502743,80.71479782662034,338.09678098295234,144.90677582565507,99.42978235155799,0.0,0.0,1.0,0.0,17.61,9.83,0.0,78.93,72.982956,0.0028063934,0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 08:00:00,243.42510607437058,253.21185840872434,413.26813159371557,136.94452868606464,125.25053565897801,0.0,0.0,1.0,0.0,20.59,9.28,0.0,61.9,69.23052,0.002716062,0.8660254037844387,-0.4999999999999998,0.8064799463209448,-0.5912614448635781
2025-05-08 08:15:00,269.4299828499249,360.1311040847147,453.84003132023975,132.6809911419441,185.40752522559035,0.0,0.0,1.0,0.0,20.59,9.28,0.0,61.9,73.133995,0.0029180993,0.8660254037844387,-0.4999999999999998,0.8064799463209448,-0.5912614448635781
2025-05-08 08:30:00,301.4825598913352,438.1441516604318,510.89324236780845,194.6843590591254,242.44751361216814,0.0,0.0,1.0,0.0,20.59,9.28,0.0,61.9,77.03747,0.0031201364,0.8660254037844387,-0.4999999999999998,0.8064799463209448,-0.5912614448635781
2025-05-08 08:45:00,427.6453201298901,579.4404408642105,566.4959595466997,169.68856085374114,482.9735462125063,0.0,0.0,1.0,0.0,20.59,9.28,0.0,61.9,80.94094,0.0033221738,0.8660254037844387,-0.4999999999999998,0.8064799463209448,-0.5912614448635781
2025-05-08 09:00:00,493.76645956254526,412.691593485513,638.5328992866946,209.19013172629838,554.5270361331293,0.0,0.0,1.0,0.0,22.31,9.0,0.0,54.03,84.84441,0.0035242112,0.7071067811865476,-0.7071067811865475,0.8064799463209448,-0.5912614448635781
2025-05-08 09:15:00,547.5765505302929,275.7138867813525,688.5475190619939,264.82833685421133,503.12397249660347,0.0,0.0,1.0,0.0,22.31,9.0,0.0,54.03,66.93806,0.0047094217,0.7071067811865476,-0.7071067811865475,0.8064799463209448,-0.5912614448635781
2025-05-08 09:30:00,607.5097422173736,343.84010873779397,701.8409424097672,330.20695808439143,665.539160041688,0.0,0.0,1.0,0.0,22.31,9.0,0.0,54.03,49.031696,0.0058946316,0.7071067811865476,-0.7071067811865475,0.8064799463209448,-0.5912614448635781
2025-05-08 09:45:00,651.5762706607094,273.98205409466124,758.7139257070775,358.99678078278794,806.6854173513157,0.0,0.0,1.0,0.0,22.31,9.0,0.0,54.03,31.12534,0.0070798416,0.7071067811865476,-0.7071067811865475,0.8064799463209448,-0.5912614448635781
2025-05-08 10:00:00,641.7667636029649,589.1785183041292,780.2917426377816,612.0718129289196,791.7768496625181,0.0,0.0,1.0,0.0,23.45,8.94,0.55,50.05,13.218981,0.008265052,0.4999999999999999,-0.8660254037844387,0.8064799463209448,-0.5912614448635781
